[frame 00031] webcam=103.4ms  encode=67.9ms  decode=11.2ms  reproject=0.0ms  render=24.6ms  grid=5.5ms  imwrite=0.0ms  stream=1.5ms  TOTAL=214.1ms  (4.7 fps)
[frame 00032] webcam=101.9ms  encode=66.0ms  decode=11.3ms  reproject=0.0ms  render=25.4ms  grid=4.8ms  imwrite=0.0ms  stream=1.5ms  TOTAL=210.9ms  (4.7 fps)
[frame 00033] webcam=100.4ms  encode=69.8ms  decode=12.3ms  reproject=0.0ms  render=28.1ms  grid=4.8ms  imwrite=0.0ms  stream=1.6ms  TOTAL=217.0ms  (4.6 fps)
[frame 00034] webcam=113.1ms  encode=72.2ms  decode=12.6ms  reproject=0.0ms  render=25.7ms  grid=4.9ms  imwrite=0.0ms  stream=1.6ms  TOTAL=230.2ms  (4.3 fps)
[frame 00035] webcam=107.9ms  encode=74.3ms  decode=13.1ms  reproject=0.0ms  render=28.1ms  grid=5.8ms  imwrite=0.0ms  stream=2.1ms  TOTAL=231.4ms  (4.3 fps)
[frame 00036] webcam=103.9ms  encode=91.6ms  decode=10.6ms  reproject=0.0ms  render=46.4ms  grid=5.3ms  imwrite=0.0ms  stream=2.7ms  TOTAL=260.5ms  (3.8 fps)
[frame 00037] webcam=101.1ms  encode=54.2ms  decode=10.2ms  reproject=0.0ms  render=26.1ms  grid=4.7ms  imwrite=0.0ms  stream=1.5ms  TOTAL=198.0ms  (5.1 fps)
[frame 00038] webcam=102.1ms  encode=73.8ms  decode=10.9ms  reproject=0.0ms  render=25.8ms  grid=4.6ms  imwrite=0.0ms  stream=1.4ms  TOTAL=218.7ms  (4.6 fps)
[frame 00039] webcam=103.2ms  encode=58.9ms  decode=11.4ms  reproject=0.0ms  render=26.8ms  grid=4.0ms  imwrite=0.0ms  stream=1.5ms  TOTAL=205.8ms  (4.9 fps)
[frame 00040] webcam=93.8ms  encode=60.5ms  decode=11.1ms  reproject=0.0ms  render=27.3ms  grid=4.2ms  imwrite=0.0ms  stream=1.5ms  TOTAL=198.4ms  (5.0 fps)
[frame 00041] webcam=110.1ms  encode=66.2ms  decode=11.3ms  reproject=0.0ms  render=28.1ms  grid=5.1ms  imwrite=0.0ms  stream=1.6ms  TOTAL=222.4ms  (4.5 fps)
[frame 00042] webcam=103.2ms  encode=65.9ms  decode=11.4ms  reproject=0.0ms  render=24.5ms  grid=5.8ms  imwrite=0.0ms  stream=1.8ms  TOTAL=212.5ms  (4.7 fps)
[frame 00043] webcam=106.2ms  encode=97.0ms  decode=11.8ms  reproject=0.0ms  render=26.6ms  grid=4.5ms  imwrite=0.0ms  stream=1.4ms  TOTAL=247.6ms  (4.0 fps)
[frame 00044] webcam=95.6ms  encode=65.9ms  decode=10.9ms  reproject=0.0ms  render=36.1ms  grid=4.4ms  imwrite=0.0ms  stream=1.4ms  TOTAL=214.3ms  (4.7 fps)
[frame 00045] webcam=100.8ms  encode=73.0ms  decode=11.8ms  reproject=0.0ms  render=27.6ms  grid=4.4ms  imwrite=0.0ms  stream=1.5ms  TOTAL=219.1ms  (4.6 fps)
[frame 00046] webcam=99.3ms  encode=72.6ms  decode=11.8ms  reproject=0.0ms  render=28.3ms  grid=5.1ms  imwrite=0.0ms  stream=1.5ms  TOTAL=218.6ms  (4.6 fps)
[frame 00047] webcam=104.0ms  encode=71.3ms  decode=11.6ms  reproject=0.0ms  render=33.3ms  grid=6.0ms  imwrite=0.0ms  stream=1.5ms  TOTAL=227.6ms  (4.4 fps)
[frame 00048] webcam=97.2ms  encode=67.3ms  decode=10.6ms  reproject=0.0ms  render=23.3ms  grid=4.9ms  imwrite=0.0ms  stream=1.4ms  TOTAL=204.8ms  (4.9 fps)
[frame 00049] webcam=99.4ms  encode=75.1ms  decode=11.2ms  reproject=0.0ms  render=23.5ms  grid=5.0ms  imwrite=0.0ms  stream=1.5ms  TOTAL=215.8ms  (4.6 fps)
[frame 00050] webcam=103.8ms  encode=54.8ms  decode=10.4ms  reproject=0.0ms  render=24.0ms  grid=5.7ms  imwrite=0.0ms  stream=1.5ms  TOTAL=200.3ms  (5.0 fps)
[frame 00051] webcam=98.4ms  encode=59.6ms  decode=10.3ms  reproject=0.0ms  render=22.2ms  grid=4.8ms  imwrite=0.0ms  stream=1.5ms  TOTAL=196.7ms  (5.1 fps)
[frame 00052] webcam=101.1ms  encode=62.5ms  decode=11.9ms  reproject=0.0ms  render=27.0ms  grid=5.1ms  imwrite=0.0ms  stream=1.5ms  TOTAL=209.0ms  (4.8 fps)
[frame 00053] webcam=99.0ms  encode=61.6ms  decode=11.2ms  reproject=0.0ms  render=31.5ms  grid=5.0ms  imwrite=0.0ms  stream=1.5ms  TOTAL=209.8ms  (4.8 fps)
[frame 00054] webcam=97.0ms  encode=57.1ms  decode=10.6ms  reproject=0.0ms  render=24.9ms  grid=4.9ms  imwrite=0.0ms  stream=1.5ms  TOTAL=196.1ms  (5.1 fps)
[frame 00055] webcam=101.5ms  encode=55.9ms  decode=10.4ms  reproject=0.0ms  render=25.0ms  grid=4.6ms  imwrite=0.0ms  stream=1.5ms  TOTAL=198.8ms  (5.0 fps)
[frame 00056] webcam=96.4ms  encode=69.8ms  decode=11.0ms  reproject=0.0ms  render=26.1ms  grid=5.6ms  imwrite=0.0ms  stream=1.5ms  TOTAL=210.4ms  (4.8 fps)
[frame 00057] webcam=97.3ms  encode=57.4ms  decode=10.8ms  reproject=0.0ms  render=22.8ms  grid=5.5ms  imwrite=0.0ms  stream=1.5ms  TOTAL=195.3ms  (5.1 fps)
[frame 00058] webcam=99.9ms  encode=59.6ms  decode=10.8ms  reproject=0.0ms  render=25.3ms  grid=7.1ms  imwrite=0.0ms  stream=1.5ms  TOTAL=204.3ms  (4.9 fps)
